,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-800,37-800,AA-800,RT-800,NaCl-800,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.017667409588774885,0.02579859455771992,-0.022900886852929563,0.045930931212650634,0.04886424928397717,-2.2744784277674475,-1.3828569008469138,800.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.018182951372791342,0.021578183562344026,0.03623133671026936,0.023121526703835486,0.03718705648500168,-1.974898234774821,-0.4671901655553513,800.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.025019167425442367,0.034831143362118955,-0.01576666849061185,0.10107658201840623,0.06640531551853365,-1.85665857140827,-2.6533339328425547,800.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.023575003122147574,0.02918699795584625,0.014234892671520031,0.07238334298493562,0.0515897330707958,-1.8845559566762615,-1.7098088269406395,800.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02144282691666025,0.022758643913462828,0.09733577823522123,0.056581146404945735,0.04857886440548076,-1.3511463796970418,-0.8673700945875435,800.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.011233739512469363,0.02859318423429142,0.016747215054818798,0.03405900364833856,0.03078438916890549,-2.5553885078549503,-0.7010408649984657,800.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.035521457466751866,0.0348673702579539,0.019589190717141502,0.07741603039758485,0.09162844315360044,-0.4582171195055754,-2.6612070469969633,800.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029305892998699856,0.02742225221538837,0.10779727932452993,0.012062740794683129,0.06105986553552965,-0.3749559154348616,-0.5563920737799358,800.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.027315219081261357,0.03748263423100226,0.013137133866902902,0.08332643837063805,0.08183995857432089,-1.058723779228204,-2.602672364134236,800.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04398604801718855,0.02690545117341541,0.01825343777036805,0.02314375377948094,0.08001570148746437,-0.12999048587354467,-1.5928894601070884,800.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029470502730915525,0.033004607286339666,0.012561518356956458,0.05084940777970291,0.0532787264203888,-1.4847441800491492,-1.5576107100372587,800.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.019259741276204216,0.017806298307378288,0.05993359291977211,-0.02469621051962428,0.03343665329559884,-1.5558402786611862,0.45784017607445493,800.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029641457167130108,0.02613501813337664,-0.021613244050076613,0.05290476388303909,0.050638823979656265,-1.8423189609968809,-1.5812612699763524,800.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01608992095914983,0.018901546295440125,0.015095492625912688,0.06506717505840545,0.03548807434152428,-2.5370835914107177,-1.065829319183299,800.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02047388337015149,0.02170775192136456,0.02460208848138817,0.005057495658595227,0.04980782608883466,-1.5536055749946636,-0.5208914688203122,800.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03904274493802655,0.017521262611368032,0.016971956493969834,0.02642322869696534,0.07200394518985463,-0.5782138556450558,-1.2872607842702393,800.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04457523148047392,0.03235452913352612,0.012356076219850454,0.10536441351980097,0.07452821882976313,-0.8020268126263758,-2.7798558277044005,800.0
