,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-800,37-800,AA-800,RT-800,NaCl-800,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.021057338143849243,0.02359312329708038,-0.02223345565792028,0.04465286250296766,0.04603052036350988,-2.0275083692692717,-1.448437603369957,800.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02284210654188432,0.019697135792241457,0.032651355462309344,0.030337394313469643,0.04455866597487036,-1.5587642007244318,-0.8446456437323798,800.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.020546353917043784,0.036428733322243806,-0.021154659602962242,0.08940490318715072,0.06624434958643713,-1.6952885191082077,-2.723573346888115,800.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02477836782096762,0.02918699795584625,0.0191472444824756,0.057519068615400834,0.0361571646960597,-1.9059298620806542,-1.3781405583627524,800.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.019969178862269496,0.020992228185241008,0.10930284288025036,0.060755929700395714,0.05079461457433301,-1.124276234673526,-1.031950554441577,800.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0107522549093871,0.032178422941284736,0.01187848381213506,0.030052796225082907,0.04713522048791706,-1.978328858874824,-1.1768280473925399,800.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034132243790796504,0.03113667771154409,0.01980114962183454,0.07185276173662425,0.08415897419714377,-0.40545224850096967,-2.4995532742751467,800.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026271524681964663,0.030080120863945663,0.10260936550655417,0.026055479723045984,0.05465209689501964,-0.6010403076810604,-0.7879657986898246,800.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.023319976307731957,0.028320527754423824,0.01654396274335302,0.07895534102170221,0.07831473111864007,-1.009174367955305,-2.4303834348819726,800.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029736008634262807,0.028640402127216906,0.02483653002157904,0.02314375377948094,0.07617786975306381,-0.4621600761641151,-1.5130565196436645,800.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02983948316294088,0.03208395879125193,0.012561518356956458,0.04619420327281211,0.051964797895168516,-1.285772995253133,-1.5836006271213257,800.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.015995863770775397,0.014856725953456298,0.08740280125633322,-0.049722030503815434,0.032111533249315025,-1.2989788916727139,1.0234734597340915,800.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.027311550625493116,0.026188501369134157,-0.02126419150121462,0.056667909820455414,0.052484173482063065,-1.6922340633313957,-1.8151228462040325,800.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.012783796459993146,0.021932367814274704,0.02190666330305359,0.04187191463459839,0.03866446180431872,-2.1862993274732005,-0.979949631233352,800.0
