,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03038672582216925,0.027348514396449777,-0.020230154101676025,0.04336832533746589,0.05967711212400693,1.8496053438835316,-1.5355569753198532,1000.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03483022628579712,0.03161226390928424,0.04348325669262236,0.03871055495086816,0.049903965546257326,1.404316236040061,-1.0840870866913483,1000.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02382409877337974,0.03356198042612458,-0.00750133962154127,0.09795315921463056,0.07475035614549097,1.9163162861789864,-2.557322230071565,1000.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.032330023745715135,0.03913877450623872,0.024164672645020868,0.08737917404516875,0.07076177970930891,1.398705002497052,-2.337540991429176,1000.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03091359830633735,0.02730794612822141,0.02571158962418623,0.049978086826564634,0.055130907224214334,1.631143617345396,-1.318724662576412,1000.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.019107728723096518,0.03550480613870498,0.02809148117067808,0.052395594805798834,0.027688722723292317,2.617138879633638,-0.9326176865029309,1000.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.059005970206783526,0.03362049120421171,0.03411440809203462,0.1056289534506338,0.10256336455597698,-0.19544307124773677,-3.178138114664111,1000.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03616919117504922,0.03621776852359741,0.1037576875808608,0.024808427372245197,0.05758855305971852,0.6554522495603975,-0.8024795658481351,1000.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.06592701282732008,0.04316602471907106,0.045600551117769166,0.08986051088882227,0.1185027412345249,-0.9945684933290261,-3.3877056269121493,1000.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029441636799295057,0.03724660262968417,0.02480958906533874,0.018943357350322064,0.07824176364559203,0.9750787526954806,-1.447058961675595,1000.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02662445391618658,0.034335634034546016,0.02261168602838733,0.04693979541583185,0.05569120029759112,1.74873344508989,-1.3949947570848638,1000.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0201972189202745,0.026302016005794415,0.024602174353633603,-0.024913043594176502,0.0332131972624856,2.1088580758484303,0.1954127165216613,1000.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03305334645802465,0.03683957194206466,0.0012064725310868168,0.10134513124836846,0.05431012485111823,1.9886277903265093,-2.3347617753214007,1000.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.011181232311443978,0.029415847699515437,0.017178003311550002,0.0419519795794621,0.048225854852430826,2.4866756164320494,-1.0287528866990707,1000.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03015255304809987,0.025770274478127055,0.027223464331145444,-0.00022925484466038105,0.05054455507849722,1.4892739364056025,-0.4951027666403457,1000.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04462409229382497,0.03336923381284501,0.041474984024314855,0.051508072846169775,0.07834903470528902,0.5062880629008761,-1.860385065522148,1000.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.044628053386837285,0.036394333873772534,-0.008497408401089467,0.0940457463791972,0.08463133399761602,0.9452288462838165,-2.874060611032436,1000.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.08397534557810604,0.06986019574430569,0.13040116483795056,0.053965766594012685,0.1302703851306643,-2.797800169319463,-3.24992172335525,1000.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034092966276381725,0.028791698012724336,0.02147293364185178,0.02118843536218965,0.09196999132234554,0.5761665786905433,-1.6139675792050476,1000.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02706375158934796,0.028704376955115605,0.013825815045429016,0.059793138496779065,0.07416073670780303,1.4771310538983076,-1.8395997532661168,1000.0
20,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05224059146817223,0.032801443362167906,0.14140634650715198,0.040984901599057585,0.052202840150808436,0.03573055772265772,-0.7989713495891927,1000.0
21,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.06828878284741892,0.038186592845740525,0.1953361822309997,-0.040717517115647785,0.08511766976383063,-2.1018166907997493,-0.1468408339514987,1000.0
22,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.045341036942098914,0.02847759983966785,0.12964896580577467,0.00039830043869365766,0.05778775979076965,0.04137424288134521,-0.25925333971523146,1000.0
23,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05127361906039575,0.024123120139588356,0.14927096138925586,0.014286260674011841,0.055762820158229566,-0.17490352561073252,-0.28463668041199286,1000.0
24,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03090818982498063,-0.06813534848566398,0.17856133142683314,-0.029132507496222582,0.0046874706091192255,1.5772364994324222,3.119420808012504,1000.0
25,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05888019009250541,0.038023665397709135,0.1580322600083138,0.02579174298939208,0.06440854880256598,-0.6888696105435492,-0.8482929697871926,1000.0
26,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05137799290738528,0.0211481929098255,0.18218707706707107,-0.009683169963923663,0.0585414255139191,-0.5960913601895962,0.2246521478721143,1000.0
27,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04182779259150245,0.018675156235108584,0.1276476377887492,-0.009307936084723398,0.0485014117677919,0.37086598693643485,0.2232790506467669,1000.0
