,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-200,37-200,AA-200,RT-200,NaCl-200,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.006008889480499969,0.002253869301061645,-0.0005257761985475517,0.01457160645324882,0.014876506594562487,-1.427460825118416,0.10481263807139639,200.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.008785581485677667,0.0058050286001229785,-0.0001810279455773975,0.01682218183313665,0.02359636025962036,-1.1256787279768101,-0.3720000225072032,200.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.020333549628460446,0.006764596010466749,0.003141127975885444,0.01814360299629223,0.0505297090319951,-0.30749123542850715,-1.4118871688892225,200.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.008940182944128475,0.007269347886406759,-0.0015253146151609953,0.010063575278269649,0.012634496563240056,-1.2307236007566333,-0.1606684598143184,200.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.006806904576655688,0.006091803637289428,0.010970072482226208,0.011364041794129951,0.02050305084846203,-1.1925669701961414,-0.2999239632240887,200.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0036354538777568658,0.0014706238585875887,0.0018054398663363102,0.01642712457563571,0.016555643462631747,-1.51867583713398,0.13207165350088287,200.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.004632676740335922,0.002336991847654807,0.014654227320615004,-0.00629924401963913,0.02831511165751848,-2.02738084294415,-0.638364846366593,200.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.013525660749856791,0.007677771552253277,-0.001824929292913613,0.013565067605339532,0.04264400185877058,-0.7936563755561649,-1.2509666108303188,200.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006294755128358929,0.004412804379481711,-0.019740679291246517,4.464526259768432e-05,0.049930631169524085,-1.5629274917556852,-1.648983805787747,200.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.004950136782171964,0.0026683548158129003,-0.0038587498398816923,0.012710064112494436,0.012898968213304034,-1.54002135161187,0.11128084095979109,200.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006841924650166332,0.005112574268499692,-0.006591003194251088,0.009229027561271374,0.02748200070098037,-1.3824384260901315,-0.6338900472303189,200.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.005577157927488015,0.006996295561304698,0.013802608134846859,0.011309802129884059,0.010675255782301494,-1.2567853153472022,0.03449361168181295,200.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0033576253610805625,0.0008096325404957915,0.004818468370427419,0.016660364901101836,0.03762874792297482,-1.4147384885862726,-0.5954693474202097,200.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006982459469580486,-0.0043871001709145105,0.002836512910831068,0.01028537922380237,0.024195527230942458,-1.4997218868305522,0.049180645115708806,200.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0128822777683279,0.004915301918345211,-0.0010123949761185742,0.022910333302036363,0.012197874088124757,-0.9167433371373103,0.18351287049671508,200.0
