,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028468594262470826,0.022206000938124453,-0.019657364668212468,0.039730602299574994,0.05505496426497935,-2.101285181043689,-1.1224116578388323,1000.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02562561074600147,0.0238884382642717,0.04451899657150202,0.042381795693981913,0.05128609707075685,-1.8092953632989597,-0.8086879829206336,1000.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02761283967529297,0.03366996462530998,-0.0075480517601549625,0.0988222440512874,0.07097480973657372,-2.046597261171863,-2.332112707904586,1000.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.029413020067857717,0.038140546418835325,0.027845136942017363,0.11111361863937552,0.05368732880240951,-2.1766988552257494,-2.151038202088442,1000.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03034440274045786,0.024969663514277984,0.026702480634857074,0.05200607921059566,0.055130907224214334,-1.760550442948238,-1.1529475432862852,1000.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.021790745823850183,0.03552813435815549,0.03315062204411446,0.07795601613588918,0.028707510487729883,-2.7391394725392204,-1.1314294430386986,1000.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05311986749179596,0.045729017313799386,0.032689103826927066,0.10941603768972524,0.09801314414977827,-0.3215057577361395,-3.2393220396073015,1000.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02469012857760628,0.03223191816588093,0.10510745299602793,0.011585704446539558,0.061511744079373626,-0.9306088948494653,-0.4325719445937494,1000.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.06839770525813055,0.049695065501608654,0.04125002037872983,0.09246699569965552,0.12330809667038,0.9447111307453044,-3.6303180918422,1000.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0582527039464343,0.03314578481672216,0.024056200971210823,0.02399991802804932,0.07354292359229814,-0.22610902963787954,-1.5402757086541958,1000.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.030664659112556995,0.031923426266678226,0.02131034927788614,0.0431366718477636,0.05450540002563306,-1.7302911918858355,-1.174945755188511,1000.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.027087188539802843,0.026338307938154785,0.02628049116706397,-0.03565371105530867,0.02988909178199065,-1.8561012829039438,0.4651006810563435,1000.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0272929161651591,0.04099808084085935,-0.003275976471677879,0.1045433017843093,0.061136661857884224,-2.2667527595017787,-2.3542369022122682,1000.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.014282577593466862,0.028455012232910994,0.01683188922206269,0.04769684699487195,0.031303350312061065,-2.872804822430259,-0.6301023352361159,1000.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.022304715789194816,0.024530684021300143,0.02392549311311843,-0.007364844407436112,0.05258148397797152,-1.7174238196709972,-0.22448903947615392,1000.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04258229500240851,0.02418885841536381,0.042306368842537724,0.05330857598039957,0.05819871506348364,-1.1726155126878663,-1.2696196289854476,1000.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.040730287141512965,0.03957317707909806,0.0015838068054700298,0.09075847496240534,0.07038738398329261,-1.4829759128508997,-2.419308607819608,1000.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.07666629795039709,0.06986019574430569,0.14008383922902934,0.05238085514298059,0.14514395721485182,2.7705425482080748,-3.4635513717381166,1000.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0431353741690119,0.03087357331646963,0.021039682939004697,0.017850749657106358,0.06992627851830421,-0.8027137179888125,-1.2068107070226473,1000.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03637268516927215,0.02403665162052597,0.022586704540705882,0.05250410404136378,0.07647182524395457,-1.1162705376197226,-1.5831839352506585,1000.0
20,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05652440130243936,0.0328014433621679,0.1393862719311232,0.025511964683066598,0.045200121435986604,-0.057070336119762116,-0.5470967121897641,1000.0
21,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0691268474895533,0.040384027677968865,0.19094444778026645,-0.017275901145595064,0.09027299749373076,2.066770424266991,-0.7637732074076979,1000.0
22,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.046141792533823785,0.02029350437314863,0.12563770478726227,0.01760567220620922,0.048152816775923236,-0.4199818174184746,-0.21436641912367196,1000.0
23,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05057687092677232,0.021778312088248448,0.14531557174682666,0.018419786739769062,0.057188741344200364,0.07849313088502534,-0.36316335086045454,1000.0
24,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.042265511193032325,-0.09064060244715706,0.17861433993935774,-0.04884468074742078,0.015497959373311469,-0.6916303095422607,3.5055272402884534,1000.0
25,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04926849031292477,0.038023665397709135,0.1580322600083138,0.02775275424289136,0.054103836394981016,0.036545519778184925,-0.6593648707140727,1000.0
26,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.05375540231834848,0.026094839620448312,0.1831662532831352,-0.04741383472004071,0.04057069582772753,0.5445591770891676,0.863606867206384,1000.0
27,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04221284840263655,0.016753788510213485,0.12681251250405767,0.01851564044822276,0.047425623760817735,-0.5734777772599055,-0.1034374651425941,1000.0
28,p2-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.036126417988925866,0.01819554014263577,0.2099957700611907,-0.08456227352243806,0.02092732068027976,-0.05737790593058191,2.146447112845484,1000.0
29,p6-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04789140673033072,0.016464861874864917,0.15455730785798494,0.04376925623312434,0.013237579426899964,-1.1061647433073594,0.19486936732499996,1000.0
