,Epoch,LP,evoEnvt,evocode,evocode-Epoch,ploidy,Epoch-true,s_30,s_AA,s_37,s_RT,s_NaCl,s_30_adj,s_AA_adj,s_37_adj,s_RT_adj,s_NaCl_adj
596,1000.0,1.0,YPD(37C),p7-E6,p7-E6-1000,D,1000.0,0.04990448595532639,0.11838580067825119,0.03347084592004931,-0.04195995331980978,0.07081775870650117,0.04990448595532639,0.11838580067825119,0.03347084592004931,-0.04195995331980978,0.07081775870650117
597,1000.0,1.0,YPD,p5-C8,p5-C8-1000,D,1000.0,0.06290730794379859,0.16438190015327503,0.021673969751351673,0.004186206130513986,0.0577204395549639,0.06290730794379859,0.16438190015327503,0.021673969751351673,0.004186206130513986,0.0577204395549639
598,1000.0,1.0,YPD,p2-C8,p2-C8-1000,D,960.0,0.03943490862618996,0.11870883637218255,0.01596913491663836,0.010443836723032625,0.04178843520534208,0.04163177928574402,0.12042266654284571,0.014537982040304827,0.006911149440750233,0.042142893986490855
599,1000.0,1.0,YPD(37C),p7-A8,p7-A8-1000,D,1000.0,0.02978297832347976,0.05489771923906722,0.03469646814018476,-0.017951825343825577,0.07625982168279895,0.02978297832347976,0.05489771923906722,0.03469646814018476,-0.017951825343825577,0.07625982168279895
600,1000.0,1.0,YPD,p6-A7,p6-A7-1000,D,1000.0,0.052006528693059044,0.1580322600083138,0.03691673944893864,0.013703125912459264,0.05519518427176979,0.052006528693059044,0.1580322600083138,0.03691673944893864,0.013703125912459264,0.05519518427176979
601,1000.0,1.0,YPD+AA,p6-F6,p6-F6-1000,D,1000.0,0.05897158406215391,0.17911975558625004,0.03128983600015747,-0.01288183930125766,0.060817809639329416,0.05897158406215391,0.17911975558625004,0.03128983600015747,-0.01288183930125766,0.060817809639329416
602,1000.0,1.0,YPD(37C),p8-B6,p8-B6-1000,D,1000.0,0.026660263749228513,0.009958522837097361,0.028622024880757116,-0.021524906236655716,0.06106074930930846,0.026660263749228513,0.009958522837097361,0.028622024880757116,-0.021524906236655716,0.06106074930930846
603,1000.0,1.0,YPD(37C),p7-F5,p7-F5-1000,D,1000.0,0.018159565261775368,0.029793664390189226,0.046009511840723064,-0.0018193579938723817,0.026911639389896255,0.018159565261775368,0.029793664390189226,0.046009511840723064,-0.0018193579938723817,0.026911639389896255
604,1000.0,1.0,YPD+AA,p1-G8,p1-G8-1000,D,1000.0,0.06849532702890068,0.19314031500563306,0.038887278759002455,-0.06172775300809648,0.09286816152730791,0.06849532702890068,0.19314031500563306,0.038887278759002455,-0.06172775300809648,0.09286816152730791
605,1000.0,1.0,YPD(37C),p8-H5,p8-H5-1000,D,1000.0,0.01732682523109181,0.07179163399025604,0.04060586534900597,-0.0006955458240900171,0.04906739608884715,0.01732682523109181,0.07179163399025604,0.04060586534900597,-0.0006955458240900171,0.04906739608884715
606,1000.0,1.0,YPD,p3-E6,p3-E6-1000,D,1000.0,0.051727643861273986,0.16095066971812536,0.03385351355694771,-0.0012506542390539382,0.08151514856819518,0.051727643861273986,0.16095066971812536,0.03385351355694771,-0.0012506542390539382,0.08151514856819518
607,1000.0,1.0,YPD+AA,p5-G8,p5-G8-1000,D,1000.0,0.05634943747835473,0.19781257115596473,0.03231835812168511,-0.00985868204866563,0.08221087384401467,0.05634943747835473,0.19781257115596473,0.03231835812168511,-0.00985868204866563,0.08221087384401467
608,1000.0,1.0,YPD+AA,p4-F6,p4-F6-1000,D,1000.0,0.07099982938920818,0.21254826559225648,0.04053364681302765,-0.07523120603792507,0.09320758543202404,0.07099982938920818,0.21254826559225648,0.04053364681302765,-0.07523120603792507,0.09320758543202404
609,1000.0,1.0,YPD(37C),p7-F7,p7-F7-1000,D,1000.0,0.025207820154198174,0.023557673069165952,0.032635387354975856,-0.023420436418846294,0.056988395828367885,0.025207820154198174,0.023557673069165952,0.032635387354975856,-0.023420436418846294,0.056988395828367885
610,1000.0,1.0,YPD(37C),p8-A8,p8-A8-1000,D,1000.0,0.01712077102568678,0.05196163372389055,0.015920141606579674,-0.025250924803344094,0.06877599979267707,0.01712077102568678,0.05196163372389055,0.015920141606579674,-0.025250924803344094,0.06877599979267707
611,1000.0,1.0,YPD(37C),p7-A5,p7-A5-1000,D,1000.0,0.013784781419282976,-0.01143847858753852,0.0323934490359201,-0.01774436145445153,0.05627752727530928,0.013784781419282976,-0.01143847858753852,0.0323934490359201,-0.01774436145445153,0.05627752727530928
612,1000.0,1.0,YPD(37C),p8-H7,p8-H7-1000,D,1000.0,0.03859091372153983,-0.0036253076065528014,0.03385658270130042,-0.01080710323675684,0.08895457129315393,0.03859091372153983,-0.0036253076065528014,0.03385658270130042,-0.01080710323675684,0.08895457129315393
613,1000.0,1.0,YPD(37C),p8-A7,p8-A7-1000,D,1000.0,0.030633481890590876,-0.008740496432254968,0.033787791895166785,-0.012573692007359822,0.05157313957555769,0.030633481890590876,-0.008740496432254968,0.033787791895166785,-0.012573692007359822,0.05157313957555769
614,1000.0,1.0,YPD+AA,p6-D5,p6-D5-1000,D,1000.0,0.0659814391822846,0.20766182776981734,0.03636338743274236,-0.07904921620648735,0.08920258746823838,0.0659814391822846,0.20766182776981734,0.03636338743274236,-0.07904921620648735,0.08920258746823838
615,1000.0,1.0,YPD(37C),p8-D5,p8-D5-1000,D,1000.0,0.018688399932879005,-0.019627002196676083,0.02526119881264729,-0.012050914313404925,0.04442659109240175,0.018688399932879005,-0.019627002196676083,0.02526119881264729,-0.012050914313404925,0.04442659109240175
616,1000.0,1.0,YPD+AA,p6-C6,p6-C6-1000,D,1000.0,0.06710783022519987,0.21017404032538523,0.02769345624290446,-0.05262279124027368,0.10167141602472199,0.06710783022519987,0.21017404032538523,0.02769345624290446,-0.05262279124027368,0.10167141602472199
617,1000.0,1.0,YPD(37C),p8-E8,p8-E8-1000,D,1000.0,0.017047998006508965,0.0157009292049205,0.011512719777567616,-0.00940309205904663,0.04810644934298532,0.017047998006508965,0.0157009292049205,0.011512719777567616,-0.00940309205904663,0.04810644934298532
618,1000.0,1.0,YPD(37C),p7-B5,p7-B5-1000,D,1000.0,0.02010404799409557,0.05878484068481438,0.025877505734539626,-0.013679862851179388,0.04266285236974618,0.02010404799409557,0.05878484068481438,0.025877505734539626,-0.013679862851179388,0.04266285236974618
