,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-800,37-800,AA-800,RT-800,NaCl-800,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02150817239305912,0.028004065818359455,-0.0206556819934614,0.05380134726948181,0.04331928762863036,-2.3300122953226654,-1.3195799981018383,800.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.01932542545063016,0.019697135792241457,0.034651238664681644,0.027560666881179738,0.03970307036901903,-1.9259629786968933,-0.47665007046400804,800.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.023192774929341745,0.03271877852712585,-0.009046429251438372,0.10685700643359784,0.06624434958643713,-1.9997924952650157,-2.468976478980097,800.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02312933671491705,0.029514589300840294,0.017891591867582272,0.0811259789194499,0.04558557669285991,-2.1096989198517986,-1.5762253551678045,800.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.021649799279113428,0.023640130364890728,0.11326645114468692,0.0595599309089545,0.050699282160642914,-1.2000559578418055,-0.8148253174822305,800.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.012705700480698202,0.02820209512389508,0.013155312344869642,0.03295973583658391,0.04711252918633551,-2.1584447354853373,-0.8940446599199775,800.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02720931411902076,0.03113667771154409,0.01980114962183454,0.09152348614658948,0.08451711477613268,-1.1205146799857721,-2.461400608136794,800.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03008483934443132,0.029732317612457176,0.10211263242695028,0.02626711689266633,0.05465209689501964,-0.6421884271606244,-0.6881961970152851,800.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02731860439240048,0.03748263423100226,0.016766907248150848,0.09048217529264728,0.07961412699913338,-1.2206817749329208,-2.4983095099760577,800.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03912653353015538,0.029926415129903825,0.021908686816454283,0.0200035397621132,0.08086483004542594,-0.28010014113583165,-1.5250060450506517,800.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.023214862419726763,0.029487161227643274,0.014921173984074571,0.04736383104913151,0.0484787798838953,-1.8323563449891325,-1.2032298377826296,800.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.018050012120988692,0.018253569141473046,0.048583983454508775,-0.05953166717288357,0.03177456032783399,-1.459494857993169,0.9001523121403047,800.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.028974450477792818,0.026990195218108096,-0.02073755621770964,0.05408085533498362,0.04944468736803288,-1.9295270828550912,-1.47095622064097,800.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01669822836309743,0.01997547713127552,0.013544090985039508,0.0688088419506246,0.02994146723952341,-2.6836335857395976,-0.9223304966215758,800.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.020730026915836582,0.01861994896247033,0.02596173101682927,0.0006100508052207499,0.04229985423258293,-1.7020929421037332,-0.20350244635977524,800.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.038810366072938376,0.027969465064357,0.02148139431293393,0.03752139111452499,0.07161770713492327,-0.6339958848625167,-1.5489529930140191,800.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04639493533506183,0.04137312184654233,0.006724033062496388,0.11169011181820564,0.07137084744352146,-0.9353934982829226,-2.8959523842945356,800.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05407131852624068,0.035521485599155245,0.1078739677694004,0.04247040865982233,0.06774362787109864,0.4689101442434119,-1.4027906271866208,800.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04011290653443162,0.023105571642267904,0.01935770210656685,0.02375402590794111,0.056505336515779526,-0.875326434609253,-1.0254856434466078,800.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0436839909971923,0.014968543265790231,0.0005137330197504781,0.04486363631660168,0.07817399261818356,-0.5679761746583588,-1.6453890252923185,800.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.02757997833371632,-0.08089231150634812,0.1908171525114371,-0.06058598797090325,0.04996858597242757,-0.000657247833798301,3.1044963830185037,800.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04264453752060317,0.025540792326638216,0.13452844456222954,0.019595580668446952,0.05601376150497325,0.11122099865473947,-0.4892612550856313,800.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.01911901521444541,0.032307849485488815,0.05191093304073567,-0.016989819851789663,0.05423336594440772,-1.1169232060389582,-0.31945063677638924,800.0
23,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.058061168043618376,0.0395125645690394,0.17623190700404415,-0.07295023165768758,0.058653907112839125,1.7216750812992303,0.4722564412225506,800.0
24,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.038007496586532886,0.026564259448624464,0.12645257098375084,0.020945466495188792,0.04725574808762945,-0.3215263291220926,-0.37221455589197555,800.0
25,p1-F5,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04276070285676747,0.011131271855703284,0.12149715925638715,0.0007302213428534866,0.046468038841889964,-0.12878353402295578,0.14398758649694157,800.0
26,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.048947352189967736,0.011258858639328902,0.15052403703375408,0.02484302840183597,0.05276256976662819,0.2915419585149522,-0.19593097922843822,800.0
27,p2-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0530096405267326,0.0237812412788962,0.1739027070825137,-0.012053950022518687,0.07217977862179109,1.3586670393702538,-0.22804276369107318,800.0
28,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03518903179234385,-0.09487072873586366,0.1593774504340551,-0.03892470370282848,-0.018852628544865958,-1.7485870354948223,4.1185699109335765,800.0
29,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04276838215379879,0.027051025151540044,0.14488564456951106,0.02424386352599268,0.059839922711864585,0.2557954668156518,-0.5997524363193065,800.0
30,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.04896733262679152,0.026310090158470887,0.17033896739934562,-0.02311778073047677,0.052649715090581264,0.8243256575992097,0.2303448492282191,800.0
31,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.034227230990259185,0.024221117463843027,0.11760234057693054,0.028093470901546645,0.03945570858640248,-0.7600495054126052,-0.2926052103543522,800.0
32,p7-E6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0371006473184345,0.019989891418598596,0.1070663185382099,-0.035907152601857464,0.07749592247957206,0.5568937094730503,-0.1305207551312277,800.0
33,p2-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.040315896462719485,0.0023536205999538304,0.21511139838062665,-0.06303076425564283,0.046950875230515735,0.9036067641417652,1.592039236184356,800.0
34,p6-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.029497275249239424,0.009409941971664136,0.13870317695033016,0.04109384061832592,0.0037724589032007865,-1.734277081536537,0.5990361549983715,800.0
