,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-400,37-400,AA-400,RT-400,NaCl-400,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.015789667388717288,0.013799316539658808,0.0008917453460935578,0.03420398363864188,0.044071099182702994,-1.5732014186388354,-1.133157126951018,400.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.017384768040009182,0.007494961992249931,0.012819314881360474,0.014464027302758937,0.033547639350949066,-1.4564508730887415,-0.5677323958260245,400.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03295305688360112,0.02324311854540774,0.008549562982412674,0.06117366624234371,0.07195497590429906,-0.4533210731339648,-1.884990790678775,400.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.014254031072883538,0.01829266158377429,0.011149817537854656,0.02723081326277397,0.021378344954589797,-1.8766429103603364,-0.6170444027174311,400.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.008315223212073359,0.009248996751637092,0.05566253535308978,-0.0039976508040808845,0.0212372387754445,-1.5690909318127988,0.04170637002575422,400.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.009422711722461598,0.004353214273414332,0.007183420878960256,0.024594188582754,0.02530648033847232,-2.143006188737214,-0.47283092140785293,400.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.021120472004201564,0.007711533615887809,-0.0027211993780220326,0.024329236029403026,0.04534555781304316,-1.2856897680245347,-0.9804287042076372,400.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02507721059732311,0.010511532719678196,0.026650005064304372,0.011095965427501513,0.05774177582149215,-0.5021249516831943,-0.9800961251982429,400.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.03761635017026625,0.006192378276786304,0.007166157169287167,0.04109330410655582,0.05491961271299465,-0.511382405103674,-1.0399584311869474,400.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.014856158425543681,0.0050892921878672795,0.005103725534445071,0.004543842636282386,0.03683472103604592,-1.4713105278618115,-0.6256220122066144,400.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0131531189675424,0.009709719576103216,0.004837083156349353,0.011190861678113524,0.0584109544260898,-1.1744275089210867,-1.244227232922227,400.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.018740823543934,0.015375038373139978,0.08646177856550875,0.008916900087602429,0.01839077239645678,-1.037180470516743,0.24575709517058844,400.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.022204649121515364,0.022779080881827927,-0.014960525714587294,0.03608340314968138,0.04681812038314346,-1.2862830987783576,-1.4706526262424735,400.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01958666306768112,0.0060070041127518225,0.009690965073642177,0.015220079847974625,0.048200310777476114,-1.1281749439796882,-0.8747978590700559,400.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.019734952282699475,0.005410001650306041,0.022868934997820282,0.025075334926957057,0.04254449884646702,-1.2520081031555153,-0.6750090385613708,400.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.025931379005895157,0.005261121160140386,0.0018608852925407649,0.024370159491953387,0.050126545248212896,-0.9753702268566821,-0.9636702671353378,400.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034697318349700336,0.022319383093723416,0.023344155984151398,0.10329973683403464,0.07982809844709528,-0.6042023274575106,-2.1062804448012584,400.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.041329071701170894,0.016217743106027825,0.08520491532868889,0.02995262515804139,0.056819166240111525,0.44453496774280826,-0.568425767310601,400.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.029935315036454125,0.014771537821904738,0.015534611714888041,0.03142578678871969,0.05529102772774097,-0.5979076760025062,-1.16563168886547,400.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.024318448442376253,0.013805620758256686,0.03749415082553813,0.020691652915275083,0.0728285096218367,-0.2537505740397224,-1.3438747010162542,400.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03891532305152677,-0.05068485914525885,0.2015523329071648,-0.03751260688418151,0.04375783041429632,1.0294294241022788,2.3507542974361733,400.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.03675900388764647,0.028758526065516918,0.1000399073908482,0.03407664688089828,0.04943672704939224,0.27732910994457866,-0.5936578842530115,400.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.023381907730767537,0.02409290244755079,-0.007767848320091794,-0.01586135705162323,0.07044814801480036,-0.15020051138086948,-1.706759888553935,400.0
