,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0014144089322375767,-0.0005510283292759629,-0.009875396539771632,0.018899697076373418,0.006373038915119308,-0.8165270373779216,0.7005136524934651,0.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0012004051563386765,0.003097012033999132,0.0033643596014362102,0.005135063476838126,0.004342467019922389,-0.2398260471054558,0.32927479280380606,0.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.002878365921196226,0.00040207821413817117,0.0010324849333244526,0.0265356223001271,0.00934682159176842,-0.6708734673550271,1.5738558103417966,0.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.00011646030910888269,0.0003052937306951209,-0.007010203512154276,0.008212146016531858,0.003156476512456342,-0.7257957595357322,0.11102324485723826,0.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.000621404695055548,-0.002753349852636148,-0.011761556326069794,0.007394874366211012,0.0004082579448582358,-1.1275808563592795,-0.11700485028658535,0.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.00020121395502689242,0.0008404335111273487,-0.004825727214307772,-0.0032342434091823685,0.0031519469881417864,-0.3818996784652713,-0.4925917762246022,0.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.008645408294158897,0.013115179632645952,0.007656230159043714,0.010707451691513268,-0.0019007304512705374,0.9293704495542007,1.1594067303982285,0.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0010842099397697634,0.0067037659137126225,0.00018053487396823,0.003259737802874476,0.019675818708814637,0.4833403642225336,-0.030775972215145834,0.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.007890272076866777,0.004011930295492089,-0.016624551212601483,0.03420749243482014,0.010786089962860995,-1.3740632138886815,1.0444550355949043,0.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0009883338183685698,0.006249336637128387,-0.003319240819368729,0.0030298125905973807,0.005207351754050445,-0.06163297286813247,-0.09636500970942671,0.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006169796945537831,3.835015703693162e-05,-0.008269645678815314,-0.006917825306824845,0.0062322716910093385,0.22558760270795342,-0.6213339632879605,0.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0030560104354086016,0.002917918059614894,-0.002374408686401036,0.0058986103027073794,0.015932061932222387,-0.21782696354118333,-0.030456657029413747,0.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.020657459360377085,0.005073345553525578,-0.0053884346854282845,0.01973838508208059,0.008585604792443741,1.3318453282641576,1.6433943149086636,0.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0005441472470519514,0.0009411321788777463,-0.006394191812526003,-0.014073047093226704,0.005832767776603225,0.0015786176026507887,-1.1981515258687523,0.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0014381355619190956,0.003387222326217715,0.0029173604629696755,0.06383331188688983,0.003601356648709597,-1.5909637727551984,3.8719211032480727,0.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.001413635653117307,0.003696169667306081,-0.0006926057278125565,0.015263622956692962,-0.0009567760561385645,-0.5971020051603293,0.8385436513434239,0.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.001559967208985113,0.005110078244741113,-9.593415415080041e-05,0.024529375522363003,0.011693642839638993,-0.22416701366883282,1.3733025441035194,0.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.011751466542390142,0.005856904898767922,-0.008527972609190642,0.004378344906219187,9.107330727438051e-05,0.7272006081913456,0.31386300352098423,0.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.001837588578790805,0.004705273166835711,0.009198216076953024,0.004068905148872939,0.003190339835999418,-0.05155374858227489,0.4963851703506726,0.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0021138518946236784,-0.0006146072881961736,-0.006467436460116997,0.004624056039197587,-0.011281399194035374,-1.4002362057950044,-0.10291584912792587,0.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0176376609855309,0.023485987949302258,-0.012283262119081295,-0.00956347959384047,0.06770802686602569,5.523076150565944,-0.659610996602936,0.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.009984608061976069,0.016448360398322655,0.007977845725104519,-0.006396226181034742,0.044139181028703074,3.3729313941039702,-0.002017645582743864,0.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.023706007213394237,0.012292245190138256,-0.00442891669079138,-0.013007794360041791,0.07372067136534304,5.3099072349089855,-0.4452715839758068,0.0
23,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.000931763573057209,0.003560263176780808,-0.007924936515500315,-0.0037902011366468006,-0.003311456827699027,-0.44839185511755864,-0.6336950927207428,0.0
24,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.0035671564227482797,-0.0011364615228810155,0.005987871642856422,0.0029309644290173467,0.00022383921491947632,-1.1048060655089604,0.10497487617726041,0.0
25,p1-F5,1.0,D,YPD,YPD-D,YPD-D-1.0,0.006124320204620929,-0.0002722252603615469,0.10018538359888354,0.0003833944666202464,-0.004593361467219069,-0.23798040125123388,3.505169112517848,0.0
26,p1-H6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.005158125569667507,0.009394453056334302,-0.002159547905246159,-0.004327436306964086,0.027527268716563698,1.690761273359836,-0.35494994895507315,0.0
27,p2-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0012430305619260615,0.004040428905207605,0.09487626911532546,-0.004377407571767436,-0.012729222195845904,-0.430971758512837,2.907746838791914,0.0
28,p2-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0003871717676050963,0.001582564822134852,0.005550553366838814,0.000694964586585911,-0.00180790853170545,-0.5554255169278759,0.12490988508809782,0.0
29,p6-A7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.002906203307590757,0.01312240844585172,-0.006524983994150485,-0.003780855944767583,0.033206522756355564,2.0273184291989637,-0.5640321340724134,0.0
30,p1-B7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0036702249136602314,-0.0011564251440970507,-0.008683731881509584,-0.0006428428803003787,6.37037645474617e-05,-1.0538999429893534,-0.6066039549929945,0.0
31,p2-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.001414434741379042,0.0012376155125658655,-0.000407867307433678,0.0034542492528423807,0.0014481225963442381,-0.45817934649283365,0.11464061278755037,0.0
32,p7-E6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.018047389801175647,0.020955041490184637,-0.01022011622353667,-0.009705940674526237,0.06879590942062662,5.371920463941344,-0.5983393832763874,0.0
33,p2-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0036344356421867015,0.00593433917021089,-0.004948655608352718,-0.0016785438382371485,-0.0026083382631605745,-0.4759222926450682,-0.5022999673200195,0.0
34,p6-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.003623581207123896,-0.0008833938947921946,-0.006619739817134658,-0.0021650262227777195,-0.003815398087711871,-0.5316898956409543,-0.3346878613825761,0.0
35,p6-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.008789284249111068,0.0027548732296227172,0.005089586209142403,0.0005333046668660969,0.002447010409543452,-1.0466034022368886,-0.26207783171770654,0.0
36,p4-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.004504172343817248,0.00014486138545406497,-0.004887975110398143,-0.004321743663287646,-0.0019227806237756692,-0.24715321821658473,-0.37768292481553933,0.0
37,p2-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,7.484220644953833e-05,-0.0006943592551421463,-0.005589603390318642,-0.0029518703645346,-0.0017983304771070137,-0.7140982375302953,-0.4902115392623255,0.0
38,p8-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.004336767736180629,0.0042040476520079145,-0.0030973912979678155,0.004039318896117935,-0.001415709609730175,-0.7790184861659578,-0.13368917215421983,0.0
39,p1-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.0010200659568945392,0.0023769390790448434,-0.013752953226202716,0.010630660345866952,0.0012163186157680744,-0.7452675854364409,0.01331552981143383,0.0
40,p2-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.00207094491760422,0.004053291005701304,0.07163552232994409,-0.0011090962635661864,0.0052622248183468385,-0.16564565836712797,2.1198911414799144,0.0
41,p6-H7,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0011558677657315221,0.0063828565696674895,-0.004469302134140232,0.00520633021910365,0.007121235075246791,0.14178857880910137,0.06974487642831709,0.0
42,p4-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.003704471078714983,0.006138711449843236,0.0025912456235887608,-0.006228629948761095,0.0024000738319482078,0.43583145728452405,-0.26724073465531706,0.0
43,p6-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.008064783632216495,0.008280181822086369,0.1496590201539239,-0.001722985730893509,0.010219513339525244,1.3249716491867332,5.080925619601651,0.0
44,p4-E7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.0021459505427298574,0.0008674529103097129,-0.009936137955578656,-0.0006531500686979081,-0.0036524617373929814,-0.527560518966616,-0.4044402080873608,0.0
45,p4-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.003172136030611716,-0.0015558483228239606,0.002888723211987271,-0.007636673776816699,0.000836027634896696,-0.3260581574959433,-0.3862210859741878,0.0
46,p7-B7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.003034446313985212,0.00033566535693929655,0.0029309275931504067,0.002349388242999259,-0.002695887851237341,-1.0214517760779993,0.006199666343864705,0.0
47,p6-D5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.007061919554371182,0.0078072331010254235,-0.012188765998548677,-0.00747526931502699,0.028060763716130456,1.7841253987951533,-0.8182621199935435,0.0
48,p6-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0005478285629849197,0.0014860897350551132,0.007176968469957944,0.00015965637497215033,0.01464624311329884,-0.04282777900753474,0.038643338888075265,0.0
49,p2-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0044591467643746155,0.0031545159677068392,0.06088068105828436,0.006237679692961922,0.0031451995434950398,-0.7012131628341413,2.1177623570979405,0.0
50,p6-E7,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.0030108310823017148,0.005496847554776358,-0.002719703942395259,0.0013291212236761995,-0.003178345977524248,-0.5523327806676434,-0.22147453392341834,0.0
51,p4-C6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0019102016494880914,0.00949745430769115,0.0005860693081587045,-0.002071110067373119,0.00512657179292955,0.2773110477480242,-0.2948679387564503,0.0
52,p8-C6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.005901807348174378,0.003741731389313929,-0.004107715297612019,0.0011321140874232859,0.005266439958131828,-0.6452869900137113,-0.4338127552316119,0.0
53,p2-A8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.0036755954320542663,0.004455278167794264,-0.0010338686191556645,-0.0009699609018907787,0.0016421287028702595,-0.47445498295010025,-0.35434850317902783,0.0
54,p8-C8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.0005779195915651957,0.006340525523746732,0.0035599546359409025,0.0034543956859373424,-0.0017186597756847632,-0.2675454636319066,0.20672955897731984,0.0
55,p4-B6,1.0,D,YPD,YPD-D,YPD-D-1.0,0.0018845604555122546,0.005264965927822309,-0.004718819127568393,-0.0011448959799744837,0.02556958816036136,0.9025684867808035,-0.3805287027401253,0.0
56,p7-G7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.0003267118747705298,0.0022042662909447248,-0.0047389701606615885,-0.004363861898026588,0.005799746637068596,-0.18138816939846708,-0.5841487870165628,0.0
57,p8-G8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0006542861853288233,-0.0012175758588200125,-0.002684847293698607,-0.00449243619213095,-0.005024463443957334,-0.7891557686123111,-0.45159602847489166,0.0
58,p6-F6,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.0008935676389827317,0.006393681016139722,-0.002529736345259586,-0.0019314315364781262,0.0026528617151684738,0.13161233760390872,-0.286264885228081,0.0
59,p8-E5,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0002784592825418378,0.0066659565914987465,0.003685626403413479,0.004656478066907576,-0.001994442900399556,-0.2056828652388067,0.3184887503995245,0.0
60,p5-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,-0.0066044444978654035,0.001666352795679621,0.0015508195842885177,-0.0027015406528229594,-0.0010771085852388214,-1.0196520331312127,-0.482190649010311,0.0
61,p4-A8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,-0.002055836436453781,0.002807135447406195,0.011869038807881972,0.003354751424193314,-6.261544329034129e-05,-0.6377310050932475,0.4022402219224173,0.0
62,p8-E7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0030975259243354,0.0030340629782731497,-0.003306626791657085,-0.0014418027639968912,0.007027932710859653,0.15102681532354523,-0.2320345364201955,0.0
63,p8-B6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0037156697605659353,0.0055767042398669215,-0.0093199274797955,-0.0014832187589974126,0.029910747790577705,1.2373562733345929,-0.5039942177041917,0.0
64,p7-F5,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.000517077930536883,-0.0017287690558937029,-0.004848951781393482,-0.003509418012894816,-0.0021489741998622987,-0.8547204696330354,-0.5240127844727474,0.0
65,p8-A7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.0008536896229426581,0.003759450658653607,-0.017776629860765968,-0.002945942791063205,0.00255319521351522,-0.24683204400624909,-0.9356063528603702,0.0
66,p8-D5,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.0009667944951427008,-0.0013140403896033767,-0.012229510034619204,-0.002387598437308569,-0.0028783095231583204,-0.7560976052136975,-0.6429470152772011,0.0
67,p7-D6,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,-0.001731075607583426,0.003667384744640651,5.4588800039594895e-05,0.005200790113846554,0.00037781431118161837,-0.5741464232328349,0.130888994190648,0.0
68,p7-F7,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.005070069974891626,0.0019238439533626423,-0.0016437188777602351,-0.003391892692105517,0.0015041349787100766,0.06360617016258208,-0.19924581255783458,0.0
