,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02409177944018245,0.021287896272433486,-0.0236359920552794,0.038785716021885616,0.05125587173002438,-2.4601134006426086,-0.7955347364070386,1000.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.028554386844963524,0.021468420984822024,0.045877389686519984,0.03539446422935761,0.05262780594199497,-1.7081793489364963,-0.5587153484164475,1000.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.024671642668225826,0.03135451904330898,-0.005421353285646524,0.0958530389478934,0.07402321693494555,-2.1551080190057776,-2.0903537372288117,1000.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03072077369133804,0.035231831476381856,0.016463601568524368,0.07408231522081926,0.05941700170695013,-1.9519392692550077,-1.618236678549148,1000.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.03877265793773251,0.024631404349997967,0.027693371645527917,0.048360239024799,0.055048351859483535,-1.5240038058111753,-1.0303350073036075,1000.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.021790745823850183,0.030225572996667706,0.031024785257617343,0.05239559480579885,0.02608436028651421,-2.764821484916369,-0.45903482059274214,1000.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05961208527013321,0.04481096434428283,0.0319808732123355,0.09725246165355828,0.10392850255253733,0.03924955066783452,-3.219679681128407,1000.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.034383536849643764,0.03649247823176889,0.10891852976895344,0.015574744757405591,0.063498699232393,-0.6100883195625976,-0.6580373042248214,1000.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.05072884001051068,0.04316602471907106,0.04575144531795157,0.08583777649505835,0.12303426788227552,0.34743387300232315,-3.229004397534319,1000.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02944163679929505,0.03632604732364245,0.026069778734674368,0.02905647870577658,0.08482398726435271,-1.0360770481155208,-1.4858105140879547,1000.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.030664659112557006,0.033787475127065814,0.02429849796179065,0.04284562931033132,0.05098184148023331,-1.8735325250505162,-1.00541157971184,1000.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.017393039367070425,0.026051006572861364,0.016321874579019954,-0.040099480389633034,0.04906205761400032,-1.8863018745709792,0.3743432342464918,1000.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.028254797736288983,0.03323760508714408,0.002465777014135797,0.11031589859429183,0.055147871608554715,-2.4935477703062543,-1.979998670357722,1000.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.007515048944086702,0.027384047864570445,0.013938301698482515,0.0419519795794621,0.023836516210703887,-3.3779278790189045,-0.1214293749649186,1000.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02597977061878189,0.026889003438017818,0.020573449023265137,0.004245371545181167,0.04823007277396345,-1.874773340843039,-0.27423005820757723,1000.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.037285538826380256,0.031557097800439235,0.03699952184034545,0.046242849848617484,0.07293522006226458,-1.0723825974661179,-1.4295850846492741,1000.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.04618986277996817,0.036873286736360825,-0.01002691832371742,0.0940457463791972,0.08078828169988879,-1.2698069295414454,-2.587308108435825,1000.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.06641732491382903,0.06580548096628909,0.1285890657253896,0.04184089366511835,0.10838271206050856,1.538670975155996,-2.7618728714212137,1000.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.036648384224213404,0.02670982270897905,0.022570226917179404,0.0003413560796161178,0.0572729355454812,-1.2570087987993892,-0.5055030555577574,1000.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.028991069357182306,0.023148222549120547,0.01648170220272674,0.05211332242472778,0.04834732953964838,-2.1310796281835573,-0.8505170392505849,1000.0
20,p4-G5,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.03253200398132259,-0.07816242451810926,0.19762830789247965,-0.02479056827509911,0.058524439295589925,0.013389723073803992,2.84834234511504,1000.0
21,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.05056262883856726,0.03247626958552808,0.14140634650715198,0.04944265460453053,0.05387662919496077,-0.24981131892076167,-0.8840979080953432,1000.0
22,p7-A8,1.0,D,YPD(37C),YPD(37C)-D,YPD(37C)-D-1.0,0.028641728207101782,0.03437456985617119,0.06294826525769323,-0.025138164918236658,0.07214458794058277,-0.6975364469804635,-0.36980029130162523,1000.0
23,p1-G8,1.0,D,YPD+AA,YPD+AA-D,YPD+AA-D-1.0,0.06849625539893017,0.03907431045205319,0.19314031500563306,-0.040192715349595474,0.08164376054992256,2.0275797254731227,-0.41385674302082603,1000.0
24,p1-G7,1.0,D,YPD,YPD-D,YPD-D-1.0,0.04914325900224238,0.0312361284544364,0.12162644376874987,0.04301735076249096,0.052539059547774165,-0.44184187246292744,-0.8127545277144823,1000.0
