filename,epochID
tp3_NaCl-2_e2_S110_counts_unfiltered.csv,200
tp3_NaCl-2_e4_S111_counts_unfiltered.csv,400
tp3_NaCl-2_e6_S112_counts_unfiltered.csv,600
tp3_NaCl-2_e8_S113_counts_unfiltered.csv,800
tp3_NaCl-2_e10_S114_counts_unfiltered.csv,1000
tp3_RT-1_e0_S115_counts_unfiltered.csv,0
tp3_RT-1_e2_S116_counts_unfiltered.csv,200
tp3_RT-1_e4_S117_counts_unfiltered.csv,400
tp3_RT-1_e6_S118_counts_unfiltered.csv,600
tp3_RT-1_e8_S119_counts_unfiltered.csv,800
tp3_RT-1_e10_S120_counts_unfiltered.csv,1000
tp3_RT-2_e0_S121_counts_unfiltered.csv,0
tp3_RT-2_e2_S122_counts_unfiltered.csv,200
tp3_RT-2_e4_S123_counts_unfiltered.csv,400
tp3_RT-2_e6_S124_counts_unfiltered.csv,600
tp3_RT-2_e8_S125_counts_unfiltered.csv,800
tp3_RT-2_e10_S126_counts_unfiltered.csv,1000
tp5_30-1_e0_S127_counts_unfiltered.csv,0
tp5_30-1_e2_S128_counts_unfiltered.csv,200
tp5_30-1_e4_S129_counts_unfiltered.csv,400
tp5_30-1_e6_S130_counts_unfiltered.csv,600
tp5_30-1_e8_S131_counts_unfiltered.csv,800
tp5_30-1_e10_S132_counts_unfiltered.csv,1000
tp5_30-2_e0_S133_counts_unfiltered.csv,0
tp5_30-2_e2_S134_counts_unfiltered.csv,200
tp5_30-2_e4_S135_counts_unfiltered.csv,400
tp5_30-2_e6_S136_counts_unfiltered.csv,600
tp5_30-2_e8_S137_counts_unfiltered.csv,800
tp5_30-2_e10_S138_counts_unfiltered.csv,1000
tp5_37-1_e0_S139_counts_unfiltered.csv,0
tp5_37-1_e2_S140_counts_unfiltered.csv,200
tp5_37-1_e4_S141_counts_unfiltered.csv,400
tp5_37-1_e6_S142_counts_unfiltered.csv,600
tp5_37-1_e8_S143_counts_unfiltered.csv,800
tp5_37-1_e10_S144_counts_unfiltered.csv,1000
tp5_37-2_e0_S145_counts_unfiltered.csv,0
tp5_37-2_e2_S146_counts_unfiltered.csv,200
tp5_37-2_e4_S147_counts_unfiltered.csv,400
tp5_37-2_e6_S148_counts_unfiltered.csv,600
tp5_37-2_e8_S149_counts_unfiltered.csv,800
tp5_37-2_e10_S150_counts_unfiltered.csv,1000
tp5_AA-1_e0_S151_counts_unfiltered.csv,0
tp5_AA-1_e2_S152_counts_unfiltered.csv,200
