,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,30-200,37-200,AA-200,RT-200,NaCl-200,30-400,37-400,AA-400,RT-400,NaCl-400,30-600,37-600,AA-600,RT-600,NaCl-600,30-800,37-800,AA-800,RT-800,NaCl-800,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0021257951744408326,-0.002472488380514305,-0.014871737377290122,0.020776350872412586,0.005023749878687279,0.004394172395812054,0.004321979899679082,0.0041062435425290615,0.020737232191343782,0.026164576856484496,0.02007606178437004,0.011546242178905302,-0.00012145537633884844,0.03213616241721616,0.043187992758684915,0.020575306529622084,0.017511417280930947,0.0022358530243350066,0.04853602871414942,0.043538201539478114,0.020993500275434604,0.02677481288890533,-0.021626560678287214,0.05119917318110853,0.046030520363509866,0.028740652871055938,0.02712593638234349,-0.02170353196847509,0.04328282707064973,0.052056642218066315,-4.80558318606767,-1.3077476337262253,all
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.003087950939755926,0.0008148500966176836,0.0059632037085999975,0.00583763302531745,0.004342467019922389,0.009008546057928977,0.007789413430518172,0.003945231900775881,0.014797179319181702,0.018166134634977852,0.0205127004978744,0.009757677862652324,0.009969576191669207,0.025451918969960696,0.0254178317409894,0.02733910408531972,0.02174281734259117,0.02350551720682955,0.02988115739078192,0.05372672792250815,0.018182951372791332,0.020053787140342803,0.03133542774960376,0.03418095459459025,0.0423807513187105,0.024048864536188846,0.018584629898708842,0.04264273351704422,0.03737342704678781,0.05410624269654424,-3.670911918074596,-0.5491059463647483,all
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0011788423621016527,-0.0009007734251410256,-0.0013906396121772106,0.034029039088633126,0.015336893732532175,0.021668088537581492,0.00470621798527151,0.006105846357539254,0.018003281700653358,0.04335369106049062,0.030698920671099483,0.02020256181683895,0.005121173730274168,0.06516186005491308,0.062422699145172615,0.03046906479566684,0.025763129931782158,-0.0023134624420898947,0.0884607863023437,0.05856264018908468,0.018860373944475702,0.03182372527549935,-0.013644532314826477,0.08886527638094972,0.06484079697674673,0.026795978451765515,0.030304780451493887,-0.0054680654242602175,0.0988222440512874,0.06883292512699246,-4.618343877894328,-3.6059632422319283,all
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0024811049104431627,0.0007140953551339336,-0.0115341052258876,-0.00016995345358092502,0.0009881670867719946,0.011019295157839004,0.003191839512400167,-0.003813706136930219,0.010063575278269649,0.008514590376748305,0.011861436755138007,0.019816818125045328,0.009652644449826392,0.030082475988507693,0.03010672607198664,0.012804677881776324,0.027921528748710445,0.01868132444394669,0.03144357148560721,0.037079436712106985,0.024664181338665117,0.02937931723415248,0.01191992392952871,0.06434824285573648,0.035171593805596764,0.030390910612031082,0.03331247146267457,0.021702169835221184,0.1120667096575396,0.057324353227418634,-4.614139628537671,-0.91750068905712,all
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.002191861658283006,-2.4707479230888784e-05,-0.0034595352880637093,0.007394874366211012,0.0025910138573112433,0.005496901618130064,0.004674950384995094,0.011606671348684644,-0.0033010202433983267,0.028521096736916163,0.010382941762014227,0.00916941856646848,0.04475358658542028,0.0018518308577448453,0.02881551953188524,0.020263577461821964,0.016289142177480072,0.11661509737235745,0.041806256639692056,0.040361735710412884,0.019762206499816314,0.021877157462034932,0.09337216997078462,0.06728786855644019,0.05691594107937916,0.02884927274598006,0.02815539438182276,0.03234300312061726,0.052006079210595656,0.05309379277005235,-3.357186236196556,-0.3842128678634256,all
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.003050058838357419,0.001463707814733797,-0.008255426486648435,0.005334098966246771,0.0017532035881251005,0.004668216427942632,0.004707456441717623,-0.0035043587932621014,0.034673052544611005,0.022232738861212457,0.010027938300363855,0.007603970460652029,0.00031099579529938684,0.025168951781672062,0.01657884055056721,0.013680222129688141,0.014467977293990929,0.007488238749717179,0.009847851085070618,0.03754417280876717,0.009203115396964959,0.02648431430442763,0.019677076061793784,0.02692715184879063,0.035244871978135715,0.014528388506428543,0.03164973466160552,0.031024785257617343,0.07611010825630088,0.027688722723292317,-5.127508651523267,0.28381000176024485,all
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.004417320832940656,0.008440494882567567,0.009072884505838923,-0.009507266274109295,0.0054104051813448325,-0.002241520467682934,0.0006902292330665416,0.006798313218065065,0.001993796925780292,0.02880067794421821,0.008210248034169802,0.00751611142496485,0.003419834472616501,0.03636851024905472,0.045067284271138,0.0062377142427295995,0.014983624707616163,0.005477702493589958,0.027464670810713816,0.0671989068729231,0.020724281072296374,0.036133931629244886,0.0205875458186731,0.08354254682859373,0.08190791159765083,0.04677552885597084,0.04472299572450443,0.03411440809203462,0.11345311526598828,0.10288084934837446,-4.067128531873979,-2.683525367993764,all
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0011344926594005274,0.004789097622191018,0.0066236912315318745,0.010355844376488864,0.001673061450425028,0.013525660749856791,0.0050514790284583435,0.0013393882836452036,0.026248251183797963,0.02705678956530828,0.04083703953913005,0.009191571148951859,0.026709153742097085,0.03032018182075912,0.06566969011239962,0.037443129667035294,0.02282958975002098,0.09908729769090258,0.031738630827672296,0.06633919273583716,0.029208628685799574,0.02742225221538837,0.09692471860897453,0.015140314589538031,0.05465209689501965,0.031450009813198836,0.042528503144901315,0.10644763143410338,0.029269735286840574,0.06352405887558482,-1.5675963357240306,-1.969391083898841,all
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.014944947625967415,0.001771890920265445,-0.010821744500035277,0.01769094674827729,0.015295280897609637,0.006294755128358929,-0.003761529858975965,-0.00030464939513191725,0.009814375522355052,0.04490194116497435,0.03810780481951009,0.006831137684876948,0.006190790313184794,0.04538111119412315,0.06402087929622671,0.03879260143556487,0.014698531019415387,0.01642463910314929,0.06802564712203008,0.06851840544231205,0.023319976307731957,0.02239402381556905,0.013228740651544536,0.08611107794371142,0.07825062531807975,0.05196418622591591,0.046012375955885115,0.04590233951813397,0.09400055932946504,0.1130692154813386,-3.273241226494692,-3.8064035574490838,all
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.004494880022995485,-0.003950557288733453,-0.006815215100334165,0.006489242083620465,-0.004605114377105878,0.002279569619400566,0.0006746012095137201,0.008333977928032194,0.013090532428790956,0.01189190966978087,0.02170441787232895,0.0063454561270050135,0.00840006960815836,0.00616691769098549,0.04854760296946065,0.032896342685006685,0.02497476467187458,0.026735806117193037,0.001286351924895691,0.07263598880456602,0.03706616426499591,0.032261458627720715,0.019236377197830418,0.02851547083528289,0.07895821329323978,0.03609026112517221,0.03406634012276388,0.021182917783415325,0.02747681280702797,0.07347200746002411,-2.4914301769884335,-1.717259186156667,all
