,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,30-200,37-200,AA-200,RT-200,NaCl-200,30-400,37-400,AA-400,RT-400,NaCl-400,30-600,37-600,AA-600,RT-600,NaCl-600,30-800,37-800,AA-800,RT-800,NaCl-800,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0007914249654817446,-0.00631527757532026,-0.018057987174775008,0.014012119379459915,0.0035657949648454047,0.003945374328796022,0.004321979899679082,-0.0018287080837669052,0.01457160645324882,0.015891596198865873,0.012789408482096244,0.010413847157850929,-0.0016623204605229695,0.03482472217741297,0.043187992758684915,0.019826740514268682,0.018285281060730168,-0.004089306886813621,0.053721982304011213,0.04753011063254153,0.020414990289395453,0.02615705090357846,-0.02309195961340349,0.06821807400445387,0.050132446675742494,0.024498084595920767,0.02593183665171729,-0.02273540362194388,0.04058999031044822,0.05205664221806632,-5.116234529432728,-0.9756339061786172,all
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.002615107076262765,-0.0008120615185565297,0.0029315957712516853,0.00583763302531745,0.0029969575984565805,0.007400405827003463,0.005824016913850564,0.003945231900775881,0.010070421273467163,0.023802694723786582,0.018367049823689356,0.005917648829553512,0.01187820148923025,0.03225677763926657,0.05926573400977499,0.028300112532747463,0.02001737887876474,0.023303362285149943,0.03411418318811588,0.05339842347470475,0.023604621743627967,0.02466498224025731,0.035547381220602636,0.032494800930333474,0.03726789001783873,0.031097009954957868,0.0238884382642717,0.0440011266320622,0.034548325266515835,0.058227674540308375,-3.451095051796757,-0.8541453437921421,all
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.006194702910501707,-0.00046957876557210686,-0.0030808100070875877,0.028694869505827045,0.01409227635464583,0.015591657667730904,0.00470621798527151,0.00206710089081191,0.010579957263133,0.0621079503617355,0.032609992239348136,0.01786532712395697,0.0041887595249917855,0.05609835203998991,0.06224248516670386,0.031132096341505013,0.024292802341595632,0.002559794108498855,0.0911108171976027,0.06417005500586938,0.024199138909245032,0.036428733322243806,-0.01613211321256398,0.08637868325310949,0.06484079697674673,0.028460383570139056,0.028373053238676307,-0.0075480517601549625,0.09903142322843553,0.07252090497578965,-4.628844969236829,-3.891431820494631,all
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0034804139306820092,-0.0008276250699765577,-0.0106399304947127,-0.0013540340992699651,0.0053247859381406895,0.009447112868709685,0.014869848220877656,0.0017390793941644636,0.009997111809201608,0.014920896183729684,0.014210339111227006,0.01676850504250326,0.009445077638736886,0.029138949425046832,0.03339540961076959,0.012804677881776324,0.02371718939976728,0.015973908891485186,0.03455415076005612,0.027712395123097564,0.024591750191123283,0.02713939836131656,0.012777277477878258,0.0811259789194499,0.03958142031492404,0.027473906934173654,0.038140546418835325,0.01892610437832405,0.068931426641407,0.043331591136455225,-4.632529618273392,-0.8572332517221295,all
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.002847659403196537,0.0003888932737962839,-0.007039450837964175,0.008647604226272053,0.003754929069107987,0.004837791291522407,0.0037182056734165092,0.00864998722026169,-0.0050368266798800155,0.022262612316817285,0.009030601048057509,0.009403640589769115,0.0616420395008724,0.002935779871989993,0.02811571343488866,0.019600273704039998,0.0156455094790784,0.10075913852319407,0.029574624176434507,0.045435363658635965,0.019969178862269496,0.02187371463666891,0.078103160841042,0.0515560208120496,0.05079461457433301,0.025289817191144974,0.02679875703890008,0.02768747500440164,0.04986147997818721,0.055048351859483535,-3.4180803474317427,-0.05214568231602344,all
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.00028120276756797444,-0.0001643762869443485,-0.0086103304976532,0.003240235269114065,0.0049235263841029,0.0036354538777568658,0.0029076018127879607,0.0035448630620223296,-0.0024164511231268802,0.02235123759164156,0.009846667028946664,0.005106861914103054,0.008753648764808424,0.021855766988919726,0.020025807225931055,0.01791732071099038,0.01592133148006251,0.007488238749717179,0.018685015271168226,0.03585993712025217,0.01115656096827606,0.0317873338308884,0.015139365670597132,0.027917067278149646,0.03816887226629349,0.01988189450461527,0.03358513122355463,0.028991705813613607,0.06218707849137638,0.030311872924507988,-4.842428011878131,0.35668233900514257,all
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0002697561727206393,0.01311517963264595,-0.004952473017217629,0.01955608026103659,0.016204855213215276,-0.009231744966279931,0.00743949000156583,0.006798313218065065,0.006098723860963554,0.020670852364878832,0.008210248034169802,0.00751611142496485,0.006873861438963836,0.024477777790170758,0.04469258312241525,0.013718749536038456,0.009300753029731105,0.006383819089003947,0.03454629104070706,0.07096464207188999,0.035521457466751866,0.03306260513147415,0.022107666548206527,0.09239096115369376,0.09162844315360044,0.05961208527013321,0.0335325225844333,0.03553971235714217,0.1168537106522528,0.1021506809366091,-4.023409269960496,-3.262677338031337,all
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01524730043037383,0.005337559806241432,0.0011257702567242726,0.016823028138161503,-0.002256626033744141,0.008073801067342411,-0.0002623608044173165,0.0065734271322109026,0.003982368888025486,0.03128250183241742,0.023173888961164624,0.009851551934315028,0.02202211143466808,0.014899614174848388,0.06467650323586617,0.03849561548962736,0.022393523796921663,0.099876877525803,0.01920556042333429,0.06859117802092292,0.02586578834112472,0.032369359486913975,0.10612574970068987,0.026753044746001816,0.06280466998618411,0.034383536849643764,0.042528503144901315,0.10191170406254202,0.029269735286840574,0.06354941851877663,-2.049980879931657,-1.993722238143608,all
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0036448506684064615,-0.00046814845496119815,-0.004568734556416085,0.01769094674827729,0.0030572548301702807,0.006916011914532972,0.002880475535852373,0.0009663280946075047,0.009814375522355052,0.047416286167249216,0.01726613250364146,0.011421443539230476,0.008281721618258367,0.04268266038641692,0.04663434720533911,0.03366723245491116,0.017394931779473714,0.016101768055944,0.07077416766627072,0.06554353840343899,0.027315219081261357,0.03335006455956823,0.01654396274335302,0.08813980053526364,0.08542929183056203,0.06079861884972584,0.03948333517334752,0.041400914578912235,0.08252316689275976,0.12330809667038,-3.224337051961932,-3.8855764647167805,all
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.002741606920682028,-0.0018440028413735988,-0.0018360990989607477,0.01349047503662518,0.015019817885206769,0.002801543216616502,-0.002948320780504399,0.001409463094786434,0.03080591339031582,0.011178052351486695,0.019552686184164503,0.00513391800256905,0.006598719081898093,0.004235392483307799,0.02921036973539516,0.044823751398163546,0.02497476467187458,0.0293878630179097,0.006582733623949469,0.06025309386332803,0.03076619326684254,0.030375353081018405,0.01949191078433132,0.0229872265632412,0.07254839765492628,0.05264800319108177,0.03724660262968417,0.02067611620820761,0.034692480572909266,0.07831267977786607,-2.5574393459731546,-1.6371326705995557,all
