,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,30-200,37-200,AA-200,RT-200,NaCl-200,30-400,37-400,AA-400,RT-400,NaCl-400,30-600,37-600,AA-600,RT-600,NaCl-600,30-800,37-800,AA-800,RT-800,NaCl-800,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.006856150528262149,-5.6369162939931846e-05,-0.014006785720298709,0.02142217027889266,0.007345466333327303,0.004795038963656723,0.002720274297657369,-0.0016781363918548602,0.02016709863102257,0.021755896521801103,0.01584863079207765,0.012888012883620742,-0.0011346560987712546,0.03151542387844507,0.03384794382290562,0.019826740514268682,0.01687881910359458,0.004263758120140626,0.043915239820203,0.045150618453245216,0.024255753093679687,0.02492779797412433,-0.022042382897446342,0.0537834901467778,0.045855682412161015,0.03038672582216925,0.027348514396449777,-0.020230154101676025,0.04336832533746589,0.05967711212400693,-4.875958654215291,-1.2727473978179236,all
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.001908541493152625,0.0020534114377336607,0.005530439878415475,0.006540202573796774,0.004119548800701099,0.006818617452259249,0.0067465389656760685,-0.0007246307230179094,0.02398597482824693,0.028637288375012993,0.017453878568056018,0.009757677862652324,0.009153484039440241,0.03290912930915153,0.034196508353953534,0.03345331811067598,0.021479697512835204,0.023888148360549803,0.011928508112357477,0.05890807800964073,0.018564208973663163,0.023140585818256086,0.03417840674133349,0.025874513216922967,0.039445804673998594,0.03483022628579712,0.03161226390928424,0.04348325669262236,0.03871055495086816,0.049903965546257326,-3.4125198482405446,-1.0531702928733122,all
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,1.239186520412682e-05,-3.838410600318783e-05,-0.005064574056883093,0.011600539879325723,0.015336893732532175,0.020140698612103297,0.0073915374944144,0.004215155060958978,0.018344901403935392,0.04362574978788796,0.03212513593783302,0.020202561816838955,0.007617148777130294,0.062140690716605364,0.06350302813254137,0.02833068760112501,0.02402141373504488,-0.002975022718039237,0.08605755851038074,0.06454058193622991,0.023333187452874285,0.03489601425642493,-0.0221214630078332,0.09961888705182176,0.0628016261859702,0.02382409877337974,0.03356198042612458,-0.00750133962154127,0.09795315921463056,0.07475035614549097,-4.389502433194069,-3.7877058086826243,all
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0025850417978248944,0.0002759085352361833,-0.011426714325582723,0.0058439847251537756,0.005377709700539353,0.0060120992083979,0.011069598053642209,0.0007376928099071076,0.009997111809201608,0.010701893884031428,0.014210339111227006,0.020206076750498788,0.009652644449826392,0.02833819484211935,0.035546423650600525,0.014388197101767778,0.020515187575181053,0.016596562233546348,0.031067638597111136,0.03645043261816554,0.02312933671491705,0.027032649900437952,0.012520185574820935,0.06992548671185714,0.035171593805596764,0.032330023745715135,0.03913877450623872,0.024164672645020868,0.08737917404516875,0.07076177970930891,-4.499473142921458,-1.2516184729145805,all
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0025197605307397714,-0.0015958290424471044,-0.0013598025988764873,0.007995164749696642,0.0018096659545203007,0.008759053249871536,0.007201917862439928,0.015440421021838104,-0.003474246538512601,0.024423312892505177,0.008315223212073359,0.007647349220009421,0.06794717962754042,0.0018518308577448453,0.024236533266812472,0.02071939034204641,0.01411075740409736,0.11541832945311742,0.029251588624597744,0.04989439346219839,0.022310882773616345,0.02069427294463964,0.05622388832797047,0.056581146404945735,0.04853119819863571,0.03091359830633735,0.02730794612822141,0.02571158962418623,0.049978086826564634,0.055130907224214334,-3.1367450000622505,-0.3169897260594442,all
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.00012122514248581058,-0.0027972701866941915,-0.017937201562322997,0.003240235269114065,0.00315185477615942,0.005340073710184126,0.0005496873784464464,-0.0036150903730816546,0.004480986589411581,0.02211424013078335,0.01042547460726514,0.008439501718283827,4.2369955184183946e-05,0.02690743903525114,0.02459291054527209,0.015618424599448063,0.012959793535178999,0.009041043780667718,0.01908575034821337,0.04386774038840291,0.011397303269817192,0.029577430085711107,0.015139365670597132,0.027917067278149646,0.042652046377105284,0.019107728723096518,0.03550480613870498,0.02809148117067808,0.052395594805798834,0.027688722723292317,-4.842140746143375,0.10802392547223666,all
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0065989998015828786,0.0020147593860669662,0.00180834887230058,0.020822315629535102,-0.01269518048314098,-0.003440874922173043,0.0065318614237858345,0.02162727748160749,0.0157631739162949,0.015167834566102148,0.019756916612743838,0.00600562488761299,0.006873861438963836,0.0071320410497238175,0.04469258312241525,0.021199784829347312,0.012922705626827529,0.006383819089003947,0.028416173046039488,0.07096464207188999,0.03557384255955205,0.0361339316292449,0.018016398323464383,0.07481360537627196,0.0837749307232957,0.059005970206783526,0.03362049120421171,0.03411440809203462,0.1056289534506338,0.10256336455597698,-3.187673957067504,-3.148371980547936,all
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.001538204984211188,0.0043052991843176005,-0.0022780649452620602,0.01147553657273739,0.004022157896012195,-0.0009987677370076444,0.007677771552253277,0.003409109555652084,0.018066925367393332,0.036754529587901236,0.04479286454212912,0.01038986131022557,0.02654671502838873,0.019116245927233242,0.05758429751990605,0.039198686765386,0.02710009681711229,0.09987792131981246,0.0144481054075829,0.06859117802092292,0.030490575685271276,0.03204238300952598,0.10779727932452993,0.022977905928191083,0.0640280033082711,0.03616919117504922,0.03621776852359741,0.1037576875808608,0.024808427372245197,0.05758855305971852,-1.5426969235343087,-2.0798495229891634,all
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.001281729187673608,0.0043626695823729906,-0.011362221529969723,0.025525714621181597,0.015295280897609637,-6.246330483648593e-05,0.002880475535852373,-0.019740679291246517,4.464526259768432e-05,0.0442333513599929,0.016774677854397624,0.006192378276786304,0.010547762277664062,0.044272016666278016,0.06256102776869013,0.03496679942316688,0.01816957055578122,0.01923384643329266,0.0625573284732639,0.06101124893038416,0.02731521908126135,0.028320527754423824,0.019767578050519874,0.08611107794371142,0.08542929183056203,0.06592701282732008,0.04316602471907106,0.045600551117769166,0.08986051088882227,0.1185027412345249,-3.6828632548632756,-4.266090279977468,all
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0030098853408480853,-0.0009643300436521949,-0.00331924081936873,0.01349047503662518,0.008931351392152877,-0.0011735875491018961,0.011471036326313315,-0.0071312756289797765,0.030805913390315826,0.01275236760068954,0.01039652394699524,0.009622933966891851,0.00458271328884075,0.014144163983942925,0.03587661132943594,0.02716132954185726,0.02254750877015306,0.026735806117193037,0.019131563335981625,0.05907081512035098,0.04295586338460882,0.031812520676606136,0.022164220402955175,0.028358943619043144,0.07149090946070169,0.029441636799295057,0.03724660262968417,0.02480958906533874,0.018943357350322064,0.07824176364559203,-3.2144558126279916,-1.9142451365260766,all
