,Epoch,LP,evoEnvt,evocode,evocode-Epoch,ploidy,Epoch-true,s_30,s_AA,s_37,s_RT,s_NaCl,s_30_adj,s_AA_adj,s_37_adj,s_RT_adj,s_NaCl_adj
0,0.0,1.0,YP10%D,p1-E11,p1-E11-0,H,0.0,-0.004522887540812008,-0.021244864909998364,0.0003277534218342523,0.006391192281176914,0.0028066221564171006,-0.004522887540812008,-0.021244864909998364,0.0003277534218342523,0.006391192281176914,0.0028066221564171006
1,0.0,1.0,YP10%D,p1-F10,p1-F10-0,H,0.0,0.007126218354147741,0.0108363501146578,-0.0003722581087057641,-0.008189681846870947,0.0009508483008474999,0.007126218354147741,0.0108363501146578,-0.0003722581087057641,-0.008189681846870947,0.0009508483008474999
2,0.0,1.0,YPD(37C),p8-F1,p8-F1-0,H,0.0,-0.0075240693001073335,-0.01082053592281382,0.0028544092209704733,0.01019800736398053,0.002484701669227561,-0.0075240693001073335,-0.01082053592281382,0.0028544092209704733,0.01019800736398053,0.002484701669227561
3,0.0,1.0,YPD(37C),p8-C2,p8-C2-0,H,0.0,-0.0003558737784813248,0.005097676048230951,0.0008148500966176837,0.006769802601719716,0.002535147855219,-0.0003558737784813248,0.005097676048230951,0.0008148500966176837,0.006769802601719716,0.002535147855219
4,0.0,1.0,YPD(37C),p7-D10,p7-D10-0,H,0.0,0.001236768760577065,-0.006422933157076489,0.0012902714145984788,0.028694869505827045,0.015224512792098722,0.001236768760577065,-0.006422933157076489,0.0012902714145984788,0.028694869505827045,0.015224512792098722
5,0.0,1.0,YPD(37C),p8-D1,p8-D1-0,H,0.0,-0.002585041797824895,-0.01673739987018607,-0.0007982398745176203,0.001812468234079101,0.003156476512456342,-0.002585041797824895,-0.01673739987018607,-0.0007982398745176203,0.001812468234079101,0.003156476512456342
6,0.0,1.0,YPD(37C),p8-C4,p8-C4-0,H,0.0,-0.004418116366423995,-0.013861289015257017,-0.002456319853519932,0.012710736693539282,0.0014996359010847396,-0.004418116366423995,-0.013861289015257017,-0.002456319853519932,0.012710736693539282,0.0014996359010847396
7,0.0,1.0,YPD(37C),p8-D3,p8-D3-0,H,0.0,0.0002012139550268922,-0.007314634309650689,-0.00016437628694434853,-0.006461255914521104,0.00315185477615942,0.0002012139550268922,-0.007314634309650689,-0.00016437628694434853,-0.006461255914521104,0.00315185477615942
8,200.0,1.0,YPD(37C),p7-D10,p7-D10-200,H,200.0,0.020807968066663823,0.0056824885607541,0.005471792060533197,0.01463323918517521,0.05275938619046901,0.020807968066663823,0.0056824885607541,0.005471792060533197,0.01463323918517521,0.05275938619046901
9,200.0,1.0,YPD(37C),p8-F1,p8-F1-200,H,200.0,0.005602397506000679,-0.0018287080837669054,0.004088777401381221,0.0187838362357191,0.022770986126104484,0.005602397506000679,-0.0018287080837669054,0.004088777401381221,0.0187838362357191,0.022770986126104484
10,200.0,1.0,YPD(37C),p8-C2,p8-C2-200,H,200.0,0.007400405827003463,0.0007453538780827395,0.004781142449008462,0.017028198050857046,0.023596360259620357,0.007400405827003463,0.0007453538780827395,0.004781142449008462,0.017028198050857046,0.023596360259620357
11,200.0,1.0,YPD(37C),p8-C4,p8-C4-200,H,200.0,0.003198233169692954,0.013523546185261373,0.002522432520695843,-0.003474246538512601,0.030635701806007082,0.003198233169692954,0.013523546185261373,0.002522432520695843,-0.003474246538512601,0.030635701806007082
12,200.0,1.0,YPD(37C),p8-D1,p8-D1-200,H,200.0,0.008940182944128475,-0.0037185000191787155,0.01153793652386708,0.01300564009008704,0.005885918566180804,0.008940182944128475,-0.0037185000191787155,0.01153793652386708,0.01300564009008704,0.005885918566180804
13,200.0,1.0,YPD(37C),p8-D3,p8-D3-200,H,200.0,0.005656216257549168,-0.005243781988948121,-0.0010156339131045927,0.010877988418323839,0.017643867368558407,0.005656216257549168,-0.005243781988948121,-0.0010156339131045927,0.010877988418323839,0.017643867368558407
