,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-0,37-0,AA-0,RT-0,NaCl-0,30-200,37-200,AA-200,RT-200,NaCl-200,30-400,37-400,AA-400,RT-400,NaCl-400,30-600,37-600,AA-600,RT-600,NaCl-600,30-800,37-800,AA-800,RT-800,NaCl-800,30-1000,37-1000,AA-1000,RT-1000,NaCl-1000,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.010556432081497535,-0.0029098400250738244,-0.0007476665217260644,0.016534592581979153,0.007345466333327303,0.0047527328711399796,0.0027202742976573683,-0.001527564699942815,0.014571606453248813,0.017962470279000903,0.01732690059622554,0.011090590350886269,0.0035233868764750404,0.03337155995317862,0.03298767627263925,0.02102610223441015,0.018872274130965875,-0.013086393344275284,0.0540214015296811,0.04683770026879255,0.02386875671288445,0.027133269234763863,-0.02267613739424436,0.06429179453739027,0.04874175309838938,0.0264162161556192,0.026903358368237214,-0.023063202621815847,0.0377553314773801,0.05967711212400693,-4.974957377804406,-0.9160109303436774,all
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.003087950939755926,0.003097012033999132,0.005530439878415474,0.005135063476838126,0.0032198758176778712,0.011198474663598705,0.0046228134085366905,-0.0011074097692375343,0.007162649523987173,0.02359636025962036,0.01898328953296521,0.012020393733054715,0.009969576191669207,0.0035981781329801087,0.05992491428709211,0.028730272035309583,0.017765700755426373,0.022485368033260768,0.018038143490401483,0.053589493813345865,0.02436583822059497,0.024278438294313462,0.03333531095197606,0.028651240649212862,0.039445804673998594,0.02562561074600147,0.02677222935038489,0.0427397827764541,0.03955669391370994,0.05128609707075685,-3.4898203062333817,-0.7179913483044937,all
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.005686413578712913,-0.0017982342861737734,-0.0009512791164710527,0.0265356223001271,0.016296432325434356,0.02100081908302097,0.0051446710732672325,0.006756515645827633,0.01848522269957426,0.05743366827610225,0.03281126522633898,0.022667055866033948,0.005825382754533143,0.05911952137829764,0.07609084280094353,0.029378625201974776,0.028931113958337067,-0.00024342658210661783,0.08283429111120855,0.0658120635366891,0.019726325400846446,0.03208111271293348,-0.016733471895482813,0.08886527638094972,0.0657655745637975,0.028920314235305212,0.03444396904712707,-0.0034347912269791624,0.10113154349517267,0.07406700021500559,-4.2250849640330586,-3.555493458952426,all
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0015606859341317466,0.0014382125313667994,-0.022834869245659445,0.005444814204168283,0.003483297137104418,0.009447112868709685,0.01153793652386708,-0.002621907317169855,0.01424522249309444,0.0024620815110479263,0.014210339111227006,0.01676850504250326,0.011357384348944163,0.02866846741274441,0.035546423650600525,0.015108261476666997,0.022753809330262057,0.011017088306066349,0.031067638597111136,0.03139561991441252,0.025037416598353804,0.026975602688819537,0.013377539123170485,0.07675466095219276,0.0361571646960597,0.028781660557653983,0.03913877450623872,0.02382453016251736,0.09972294185135416,0.06503210680476831,-4.752707736724309,-0.95895861973458,all
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.000621404695055548,0.0012493840848691118,-0.012240327701560827,0.013989541100145213,0.002353521059445922,0.0035447529449142163,0.004674950384995094,0.011677316042639578,0.0036841723138025272,0.03085931911297188,0.01270012956998942,0.01168900087556031,0.05204686088289597,0.015750800038087702,0.015158605264687737,0.021838506980052824,0.01209806722673414,0.1019559064424341,0.041806256639692056,0.035902705906850456,0.019969178862269496,0.023060041979430217,0.10533923461581376,0.0405036421665601,0.054700190910526914,0.026044798663897785,0.02978042575958424,0.02768747500440164,0.04986147997818721,0.05725057704310711,-3.596558656676821,-0.138573807899003,all
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,-0.0008833077488329801,-0.0001643762869443485,-0.009551122674650943,0.00950137269289322,0.002126039584069528,0.004668216427942632,0.001406452189912255,-0.002699614238968469,0.01667734251744881,0.01933494179670755,0.008419948837658058,0.005772080859211837,0.003182825726880518,0.025250846638874967,0.02844644407141288,0.020576910464315087,0.01592133148006251,0.007643198721618061,0.015349557117502344,0.03754417280876717,0.013432530719802207,0.02820209512389508,0.014193557989349627,0.03299113917487193,0.03526756327971727,0.01988189450461527,0.04031185424998024,0.031024785257617336,0.045434079923336604,0.022191835671274602,-5.0933660768253315,0.24239649414949843,all
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0065989998015828786,0.012270008179712766,-0.0019379004240649145,0.029670944199058424,0.015167787086957294,-0.012551165532543691,0.002790806136544804,-0.00474398085048155,0.001993796925780292,0.024198800007507428,0.009839986502543684,0.008294407110466173,-0.0035444365630580353,0.01902277350860777,0.04469258312241525,0.0166797720911096,0.012151140754848406,0.005979155260802862,0.02178950423189311,0.06860320990164205,0.042006490513476255,0.03589160704234425,0.01749463269546255,0.07469413250349369,0.09088625910076344,0.040283311077633575,0.037015308387803765,0.032175883934465285,0.10784073666517877,0.10319833414077197,-4.0973567584925785,-3.000584376321099,all
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.001992200028652612,0.0067037659137126225,0.004165091412301585,0.0011458381182866812,0.014230629309937704,0.014808939257477916,0.0096872308383532,-0.003521854822471055,-0.004582985509816093,0.03485039571203944,0.03588669838780535,0.012705901700603746,0.03053986112286143,0.02154224696579533,0.07124795698005115,0.03849561548962736,0.017924581827178376,0.09922041369202723,0.011407092164410595,0.06584126017572328,0.03261620700742629,0.03304413921579045,0.09985770725027857,0.023189543097811426,0.06012554047221135,0.03527636401234649,0.036217768523597406,0.10880900700975718,0.02465289397942077,0.06349869923239299,-1.3051295889332735,-1.8556413184365121,all
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.0009059654851645334,0.002443982452808191,-0.008840383978060406,0.025544076206822672,0.0030572548301702807,0.008089218285781895,0.007990152087051372,-0.011401376805574369,0.020460268242688942,0.047625580633677764,0.027195514012331938,0.006500541444661808,0.00925708847436074,0.04063424816879055,0.05345976118545804,0.03249185803963023,0.01489459232005641,0.01716404110729973,0.07071825002907922,0.06851840544231208,0.012735630645548574,0.02742356062071345,0.012914189362105076,0.07895534102170221,0.08196817017544154,0.060664170048219626,0.03580064562762398,0.04883307431601014,0.09075103387506682,0.11547189319926615,-3.190095345384339,-3.3345591500394485,all
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.014077270916143459,-0.0037769528627749297,-0.0033192408193687298,0.0025685327857400565,0.012223967080270771,0.0004530324192376302,-0.006061995841432754,0.008333977928032192,0.027424366096757014,0.01683582155735856,0.017244783393780508,0.009353008708120805,0.006881417538055103,0.005858467538010904,0.03587661132943594,0.026343943901943112,0.022833851600733732,0.02688896890289787,0.016483372486454737,0.07312477274605285,0.04398604801718855,0.02630535862940001,0.02216422040295518,0.028358943619043144,0.07149090946070169,0.037262907398278214,0.031726498047654844,0.022796011301875196,0.018943357350322064,0.08663645469754548,-2.723423371095625,-1.1430404260608285,all
